antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'region_txt_Central America & Caribbean'}),frozenset({'decade_1980s'}),0.050889761733135225,0.1527771648253576,0.03672810901726564,0.7217190210059742,4.723997999511147,1.0,0.028953315501039266,3.0444870441282683,0.8305830723050455,0.22000939960051696,0.6715374427594809,0.481061076814452
"frozenset({'attacktype1_txt_Bombing/Explosion', 'decade_2010s', 'casualty_level_2_Medium_6_20'})","frozenset({'weaptype1_txt_Explosives', 'region_txt_Middle East & North Africa', 'success_Success'})",0.05184106388925666,0.15370885250403324,0.03224129730153827,0.6219258418463868,4.046128975102899,1.0,0.024272866858532353,2.2384263225737713,0.7940126524831164,0.18603400956342134,0.5532575765771968,0.4158407362744344
"frozenset({'weaptype1_txt_Explosives', 'region_txt_South America'})","frozenset({'attacktype1_txt_Bombing/Explosion', 'casualty_level_0_None', 'success_Success'})",0.046133250952528064,0.17242106398732904,0.03207457424324894,0.6952593537414966,4.032334203624855,1.0,0.024120230028819592,2.715682814791492,0.7883749837409365,0.17200031554866024,0.6317684839505902,0.44064201974089223
"frozenset({'attacktype1_txt_Bombing/Explosion', 'region_txt_South America'})","frozenset({'weaptype1_txt_Explosives', 'casualty_level_0_None', 'success_Success'})",0.0457213469261662,0.1745051022159456,0.03207457424324894,0.7015229515229515,4.020071290837301,1.0,0.0240959659244476,2.7656896970673817,0.7872419550085971,0.17047172270002608,0.6384265374888741,0.4426630128396223
"frozenset({'targtype1_txt_Private Citizens & Property', 'attacktype1_txt_Bombing/Explosion', 'decade_2010s'})","frozenset({'weaptype1_txt_Explosives', 'region_txt_Middle East & North Africa', 'success_Success'})",0.07164678249015598,0.15370885250403324,0.04299983818056107,0.6001642598042571,3.904552340526445,1.0,0.03198709345839314,2.116597048282022,0.8012992035621327,0.2358018715714747,0.5275435157524812,0.4399564360336924
"frozenset({'targtype1_txt_Private Citizens & Property', 'weaptype1_txt_Explosives', 'decade_2010s'})","frozenset({'attacktype1_txt_Bombing/Explosion', 'region_txt_Middle East & North Africa', 'success_Success'})",0.07445165276490577,0.1495947158597761,0.04299983818056107,0.5775538431140091,3.8607904015499064,1.0,0.03186226433990428,2.013050113673374,0.8005910035367032,0.23750710977492487,0.5032413782410912,0.43249803474414195
"frozenset({'success_Failed', 'decade_2010s', 'attacktype1_txt_Bombing/Explosion'})","frozenset({'weaptype1_txt_Explosives', 'casualty_level_0_None'})",0.0396457625373288,0.23142631576366515,0.0353698064541438,0.8921459492888064,3.8549892061535247,1.0,0.02619473369448866,7.126053024140788,0.7711695044858926,0.15006137266731853,0.8596698625996299,0.5224899679699674
"frozenset({'weaptype1_txt_Explosives', 'decade_2010s', 'casualty_level_2_Medium_6_20'})","frozenset({'attacktype1_txt_Bombing/Explosion', 'region_txt_Middle East & North Africa', 'success_Success'})",0.056102309114357304,0.1495947158597761,0.03224129730153827,0.574687527314046,3.8416298597922025,1.0,0.02384868831049866,1.9994835297674276,0.7836588917660432,0.1858762332852741,0.4998708490905568,0.39510591660552663
"frozenset({'weaptype1_txt_Firearms', 'casualty_level_2_Medium_6_20'})","frozenset({'success_Success', 'attacktype1_txt_Armed Assault'})",0.04381874261392334,0.22095708842696796,0.03690463931427787,0.8422112802148612,3.811650878506366,1.0,0.027222577527774662,4.937253516181997,0.7714504764211777,0.1619539487841618,0.797458243389271,0.5046165144971333
"frozenset({'success_Failed', 'attacktype1_txt_Bombing/Explosion'})","frozenset({'weaptype1_txt_Explosives', 'casualty_level_0_None'})",0.058902275769745646,0.23142631576366515,0.051821449411810855,0.8797868797868797,3.8015852989049304,1.0,0.03818991274032321,6.393425966098928,0.7830768534979857,0.21727420382820373,0.8435893360926537,0.5518544527125945
"frozenset({'attacktype1_txt_Armed Assault', 'region_txt_South Asia'})","frozenset({'weaptype1_txt_Firearms', 'success_Success', 'decade_2010s'})",0.06316842461420774,0.1357223766862321,0.032530610843863855,0.5149821456295607,3.7943790714785006,1.0,0.023957242123698496,1.7819501190025544,0.7861095708023694,0.1955432411719625,0.4388170637684575,0.37733354698198895
"frozenset({'attacktype1_txt_Armed Assault', 'casualty_level_1_Low_1_5'})","frozenset({'weaptype1_txt_Firearms', 'success_Success', 'decade_2010s'})",0.13213783093301165,0.1357223766862321,0.06736592278760953,0.5098155638846624,3.7563117912624864,1.0,0.04943186232321767,1.7631682273780074,0.8455045556616728,0.3359992173551495,0.4328391446305203,0.5030832281450915
"frozenset({'attacktype1_txt_Armed Assault', 'region_txt_South Asia'})","frozenset({'weaptype1_txt_Firearms', 'decade_2010s'})",0.06316842461420774,0.15288014083194806,0.036237747081120576,0.5736686849868033,3.752408140553735,1.0,0.026580549429968202,1.9869989122000815,0.7829630087814224,0.2015326297417437,0.4967284612688782,0.4053511978675557
"frozenset({'targtype1_txt_Private Citizens & Property', 'weaptype1_txt_Explosives', 'decade_2010s', 'success_Success'})","frozenset({'attacktype1_txt_Bombing/Explosion', 'region_txt_Middle East & North Africa'})",0.06859182762797221,0.16837067439477077,0.04299983818056107,0.6268944809837003,3.7232996971542107,1.0,0.03145098590486952,2.228938686830033,0.785285174715195,0.2216913158892681,0.5513559857394793,0.4411412060090915
