decade,region_txt,country_txt,attacktype1_txt,targtype1_txt,weaptype1_txt,casualty_level,support,total_killed,total_wounded,total_casualties,avg_casualties_per_event,cuboid_level
ALL,ALL,Somalia,ALL,Government (General),ALL,1_Low_1_5,437,483.0,342.0,825.0,1.8878718535469108,3
1990s,Southeast Asia,ALL,Armed Assault,ALL,ALL,ALL,436,1684.0,1218.0,2902.0,6.655963302752293,3
1990s,Western Europe,ALL,ALL,Police,ALL,ALL,436,157.0,866.0,1023.0,2.346330275229358,3
ALL,Sub-Saharan Africa,ALL,ALL,Utilities,ALL,0_None,436,0.0,0.0,0.0,0.0,3
ALL,ALL,Philippines,ALL,Military,Explosives,ALL,436,537.0,1404.0,1941.0,4.451834862385321,3
ALL,ALL,Iraq,ALL,ALL,Firearms,0_None,436,0.0,0.0,0.0,0.0,3
2000s,ALL,India,ALL,Police,ALL,ALL,435,1283.0,1884.0,3167.0,7.280459770114943,3
1990s,ALL,West Bank and Gaza Strip,ALL,ALL,ALL,1_Low_1_5,435,312.0,362.0,674.0,1.549425287356322,3
1980s,ALL,ALL,Armed Assault,Business,ALL,ALL,435,902.0,493.0,1395.0,3.206896551724138,3
1990s,ALL,ALL,Assassination,ALL,Melee,ALL,435,507.0,218.0,725.0,1.6666666666666667,3
ALL,Sub-Saharan Africa,ALL,Unknown,ALL,ALL,0_None,435,0.0,0.0,0.0,0.0,3
ALL,ALL,ALL,ALL,Police,Unknown,0_None,435,0.0,0.0,0.0,0.0,3
ALL,ALL,ALL,ALL,Transportation,Explosives,3_High_21_100,435,4056.0,13710.0,17766.0,40.84137931034483,3
2010s,ALL,ALL,ALL,Educational Institution,Firearms,ALL,434,483.0,227.0,710.0,1.6359447004608294,3
1980s,ALL,ALL,ALL,Military,ALL,3_High_21_100,434,13104.0,3518.0,16622.0,38.29953917050691,3
ALL,Middle East & North Africa,Yemen,Assassination,ALL,ALL,ALL,434,524.0,349.0,873.0,2.011520737327189,3
ALL,South Asia,Pakistan,ALL,ALL,Incendiary,ALL,434,106.0,113.0,219.0,0.5046082949308756,3
ALL,Sub-Saharan Africa,ALL,Armed Assault,Government (General),ALL,ALL,434,1353.0,1548.0,2901.0,6.684331797235023,3
ALL,ALL,Russia,Armed Assault,ALL,ALL,1_Low_1_5,434,546.0,283.0,829.0,1.9101382488479262,3
ALL,Middle East & North Africa,Yemen,ALL,Government (General),ALL,ALL,433,545.0,810.0,1355.0,3.1293302540415704,3
ALL,Western Europe,Germany,ALL,ALL,Incendiary,ALL,433,11.0,271.0,282.0,0.651270207852194,3
ALL,Western Europe,ALL,ALL,Business,Firearms,ALL,433,335.0,308.0,643.0,1.4849884526558892,3
ALL,Western Europe,Greece,ALL,ALL,Incendiary,ALL,432,5.0,23.0,28.0,0.06481481481481481,3
ALL,Southeast Asia,ALL,Unknown,ALL,Unknown,ALL,432,1276.0,611.0,1887.0,4.368055555555555,3
ALL,South Asia,ALL,ALL,Educational Institution,ALL,1_Low_1_5,432,360.0,413.0,773.0,1.7893518518518519,3
ALL,ALL,India,ALL,Police,ALL,2_Medium_6_20,432,2093.0,2303.0,4396.0,10.175925925925926,3
ALL,ALL,Iraq,ALL,Police,ALL,0_None,432,0.0,0.0,0.0,0.0,3
ALL,ALL,ALL,ALL,Religious Figures/Institutions,Explosives,1_Low_1_5,432,398.0,742.0,1140.0,2.638888888888889,3
1980s,ALL,Chile,ALL,Utilities,ALL,ALL,431,7.0,23.0,30.0,0.06960556844547564,3
ALL,Middle East & North Africa,Algeria,Assassination,ALL,ALL,ALL,431,556.0,123.0,679.0,1.5754060324825987,3
ALL,Middle East & North Africa,West Bank and Gaza Strip,ALL,ALL,Melee,ALL,431,283.0,402.0,685.0,1.5893271461716938,3
1990s,ALL,Colombia,ALL,Police,ALL,ALL,430,910.0,1024.0,1934.0,4.497674418604651,3
2000s,ALL,India,ALL,Government (General),ALL,ALL,430,529.0,836.0,1365.0,3.1744186046511627,3
ALL,Central America & Caribbean,Nicaragua,ALL,ALL,ALL,1_Low_1_5,430,789.0,236.0,1025.0,2.383720930232558,3
ALL,South America,ALL,ALL,Journalists & Media,ALL,0_None,430,0.0,0.0,0.0,0.0,3
ALL,ALL,India,Assassination,Government (General),ALL,ALL,430,575.0,395.0,970.0,2.255813953488372,3
ALL,ALL,Thailand,ALL,Military,Explosives,ALL,430,260.0,1269.0,1529.0,3.555813953488372,3
ALL,ALL,United Kingdom,ALL,Police,ALL,1_Low_1_5,430,370.0,274.0,644.0,1.4976744186046511,3
ALL,ALL,Yemen,ALL,Military,ALL,1_Low_1_5,430,660.0,433.0,1093.0,2.541860465116279,3
ALL,ALL,Peru,ALL,ALL,Firearms,2_Medium_6_20,430,4197.0,533.0,4730.0,11.0,3
